WebSocket transport not available. Install eventlet or gevent and gevent-websocket for improved performance.
 * Running on http://0.0.0.0:5001/ (Press CTRL+C to quit)
192.168.32.16 - - [01/Apr/2020 06:18:50] "GET /socket.io/?EIO=3&transport=polling&t=N4qBNSl HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:18:50] "GET /socket.io/?EIO=3&transport=polling&t=N4qBNSn HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:18:50] "GET /socket.io/?EIO=3&transport=polling&t=N4qBNSo HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:18:50] "GET /socket.io/?EIO=3&transport=polling&t=N4qBNSp HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:18:50] "GET /socket.io/?EIO=3&transport=polling&t=N4qBNSl HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:18:50] "GET /socket.io/?EIO=3&transport=polling&t=N4qBNSn HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:18:50] "GET /socket.io/?EIO=3&transport=polling&t=N4qBNSo HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:18:50] "GET /socket.io/?EIO=3&transport=polling&t=N4qBNSp HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:18:51] "GET /socket.io/?EIO=3&transport=polling&t=N4qBNYm HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:18:51] "GET /socket.io/?EIO=3&transport=polling&t=N4qBNoN HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:18:54] "GET /socket.io/?EIO=3&transport=polling&t=N4qBP0b HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:18:54] "GET /socket.io/?EIO=3&transport=polling&t=N4qBP0n HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:18:56] "POST /login HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:18:56] "POST /socket.io/?EIO=3&transport=polling&t=N4qBP2g&sid=2324ab1ef7514f8fb8ed557baf753c6f HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:18:57] "GET /socket.io/?EIO=3&transport=polling&t=N4qBNb1&sid=18d7bc750de941d29cffe9c153c8b6ee HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:18:57] "GET /socket.io/?EIO=3&transport=polling&t=N4qBNb5&sid=2324ab1ef7514f8fb8ed557baf753c6f HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:18:57] "GET /socket.io/?EIO=3&transport=polling&t=N4qBNb9&sid=29ee71d481d042b9a284980bc187666f HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:18:57] "GET /socket.io/?EIO=3&transport=polling&t=N4qBOAs&sid=261dc9bdb6e2422ea2d33aa2faaac5a1 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:18:57] "GET /socket.io/?EIO=3&transport=polling&t=N4qBOAq&sid=3046b9e6d73b4bb390e436b2248cc71e HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:18:57] "GET /socket.io/?EIO=3&transport=polling&t=N4qBP1O&sid=d1b3386325034d48aa1fb694e6da7cf0 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:18:57] "GET /socket.io/?EIO=3&transport=polling&t=N4qBP1M&sid=840964c67c664bacb0e946914ae951f3 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:18:57] "GET /socket.io/?EIO=3&transport=polling&t=N4qBNay&sid=25ba23cd0f384fd2b43bfe268d98981a HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:07] "GET /socket.io/?EIO=3&transport=polling&t=N4qBNb9&sid=29ee71d481d042b9a284980bc187666f HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:07] "GET /socket.io/?EIO=3&transport=polling&t=N4qBPnH&sid=3046b9e6d73b4bb390e436b2248cc71e HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:07] "GET /socket.io/?EIO=3&transport=polling&t=N4qBNb1&sid=18d7bc750de941d29cffe9c153c8b6ee HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:07] "GET /socket.io/?EIO=3&transport=polling&t=N4qBPne&sid=d1b3386325034d48aa1fb694e6da7cf0 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:07] "GET /socket.io/?EIO=3&transport=polling&t=N4qBPng&sid=840964c67c664bacb0e946914ae951f3 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:07] "GET /socket.io/?EIO=3&transport=polling&t=N4qBNb5&sid=2324ab1ef7514f8fb8ed557baf753c6f HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:07] "GET /socket.io/?EIO=3&transport=polling&t=N4qBPnF&sid=261dc9bdb6e2422ea2d33aa2faaac5a1 HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:07] "GET /socket.io/?EIO=3&transport=polling&t=N4qBNay&sid=25ba23cd0f384fd2b43bfe268d98981a HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:07] "GET /socket.io/?EIO=3&transport=polling&t=N4qBPHK&sid=25ba23cd0f384fd2b43bfe268d98981a HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:07] "GET /socket.io/?EIO=3&transport=polling&t=N4qBS73&sid=3046b9e6d73b4bb390e436b2248cc71e HTTP/1.1" 200 -
192.168.32.16 - - [01/Apr/2020 06:19:07] "GET /socket.io/?EIO=3&transport=polling&t=N4qBS7I&sid=261dc9bdb6e2422ea2d33aa2faaac5a1 HTTP/1.1" 200 -
